"Empresa","Geo.region","Porcentaje.de.cacao","Localizacion","Calificacion","Tipo.de.frijol"
24,426,0.7,38,3.5,19
25,71,0.7,55,3.5,8
25,582,0.7,55,4,24
25,316,0.7,55,3.25,31
25,192,0.7,55,3.5,19
25,821,0.7,55,3.75,31
26,879,0.8,58,2.75,31
27,303,0.65,55,3.5,31
27,129,0.7,55,3.75,8
27,321,0.65,55,3.25,31
28,61,0.73,54,3,31
28,870,0.72,54,3.25,31
29,132,0.8,55,2.75,31
29,304,0.7,55,2.75,31
29,325,0.7,55,2.75,31
29,321,0.9,55,2.75,8
30,258,0.64,5,2.75,31
30,720,0.64,5,2.75,31
30,730,0.64,5,2.75,8
30,321,0.71,5,3.5,31
31,460,0.7,55,3.5,17
31,30,0.7,55,3.25,31
31,692,0.7,55,3.5,17
32,98,0.83,19,2.75,31
32,97,0.78,19,3,31
32,97,0.83,19,3.5,31
33,90,0.74,5,3.5,31
33,203,0.74,5,3.5,8
33,282,0.74,5,3.5,8
33,806,0.73,5,4,31
33,87,0.72,5,4,31
33,887,0.72,5,3.75,31
34,650,0.55,18,2.75,21
35,547,0.64,53,3,31
35,574,0.88,53,3,8
35,434,0.72,53,3.5,31
35,321,0.72,53,4,31
35,167,0.7,53,3.25,31
35,768,0.74,53,3.25,14
35,451,0.64,53,3.5,31
35,684,0.72,53,3.5,31
36,656,0.76,55,2.5,31
36,840,0.76,55,2.5,31
36,841,0.78,55,2.5,31
36,96,0.86,55,3.25,31
37,363,0.72,55,3.5,19
37,86,0.75,55,3.25,31
37,2,0.7,55,3.75,5
37,86,0.65,55,2.75,31
37,832,0.7,55,3,31
37,685,0.78,55,3,8
37,783,0.75,55,3,31
37,783,0.65,55,3.5,31
37,821,0.75,55,3.25,31
37,821,0.65,55,3.5,31
37,821,0.71,55,3,31
37,119,0.75,55,3.5,19
37,783,0.68,55,3.75,31
37,48,0.7,55,3,19
38,492,0.7,55,2.75,31
38,168,0.7,55,2.75,31
38,604,0.7,55,3,8
39,118,0.7,54,2.75,31
40,249,0.82,49,3.5,19
40,700,0.72,49,2.75,31
41,18,0.82,55,3.5,31
41,499,0.75,55,2.75,8
41,470,0.75,55,3.5,31
41,1010,0.75,55,3,8
41,399,0.7,55,3.5,31
41,547,0.7,55,3.75,31
42,866,0.75,18,3.5,31
42,462,0.75,18,4,8
42,524,0.75,18,3.25,31
42,904,0.65,18,3.75,31
42,579,0.75,18,3.5,19
42,361,0.75,18,3.25,31
42,275,0.75,18,3.5,31
42,280,0.75,18,3.5,19
42,748,0.75,18,3.5,24
42,516,0.75,18,3.75,31
42,405,0.75,18,4,31
42,549,0.75,18,4,8
42,457,0.75,18,3.5,31
42,449,0.75,18,3.25,31
42,440,0.75,18,3,8
42,761,0.75,18,2.75,8
42,775,0.75,18,3,8
42,1007,0.75,18,3,8
42,777,0.75,18,4,14
42,321,0.75,18,2.5,21
42,954,0.75,18,3.75,31
42,686,0.75,18,4,31
42,576,0.75,18,4,8
42,547,0.75,18,4,31
42,188,0.75,18,3,8
42,203,0.75,18,4,31
43,337,0.77,15,3.25,21
43,337,1,15,1.5,21
44,609,0.7,55,2.75,31
44,237,0.7,55,2.75,31
45,397,0.7,55,3.5,8
45,699,0.7,55,3.75,8
45,237,0.68,55,3.75,31
45,609,0.7,55,3.75,31
45,203,0.7,55,4,31
45,252,0.72,55,3,31
45,157,0.7,55,3.25,31
45,363,0.75,55,3.5,19
45,214,0.85,55,3.5,31
46,339,0.6,55,3,31
46,339,0.8,55,3.25,31
46,26,0.7,55,3.5,31
46,45,0.8,55,2.75,31
46,609,0.8,55,3.25,31
46,45,0.6,55,3.25,31
47,442,0.7,55,3,31
48,884,0.72,3,3,31
48,573,0.7,3,3.5,17
48,155,0.72,3,3.5,31
48,375,0.68,3,2.75,31
49,321,0.7,43,3.25,31
50,299,0.68,55,2.75,8
51,950,0.72,55,3.25,31
51,627,0.72,55,3.5,31
51,96,0.72,55,3.25,31
51,115,0.72,55,3.25,5
51,326,0.6,55,2.5,31
52,785,0.7,42,2.5,8
53,958,0.75,55,2.5,8
53,302,0.75,55,2.5,31
53,301,0.75,55,2.75,8
53,724,0.75,55,2.25,8
54,377,0.65,18,3.5,35
54,858,0.7,18,3,8
54,914,0.75,18,2,8
54,982,0.72,18,2,31
54,621,0.66,18,3,8
55,203,0.77,56,3.5,31
55,797,0.75,56,3.25,31
55,13,0.75,56,2.5,31
55,546,0.74,56,3.25,31
55,209,0.75,56,3.5,31
55,209,0.7,56,3.75,31
55,402,0.74,56,3.25,31
56,545,0.71,10,3.75,8
56,729,0.74,10,3.75,8
56,59,0.72,10,3.75,31
56,873,0.64,10,3.5,31
56,957,0.7,10,3.5,24
56,128,0.69,10,2.75,8
56,57,0.7,10,3.25,31
57,458,0.7,55,3.5,31
58,269,0.72,55,3.75,8
58,309,0.72,55,3,31
58,299,0.66,55,3.75,8
58,309,0.65,55,3.25,31
59,559,0.7,49,3.5,8
59,547,0.71,49,3.5,31
59,321,0.71,49,3.75,31
59,718,0.71,49,4,31
59,383,0.71,49,3.25,31
59,982,0.71,49,3.5,8
59,982,0.77,49,3.5,31
59,773,0.7,49,4,8
59,1008,0.7,49,4,8
60,547,0.7,30,3,31
60,730,0.7,30,3.25,31
60,986,0.7,30,3.5,31
61,747,0.7,38,3.25,31
62,41,0.63,15,3.5,21
62,346,0.71,15,3.5,21
62,122,0.82,15,2.5,21
62,744,0.91,15,1.5,21
63,385,0.6,5,2.75,31
63,82,0.7,5,1,31
64,275,0.75,29,2.5,31
64,299,0.72,29,3,31
64,504,0.7,29,3.5,5
64,321,1,29,3.5,31
64,982,0.8,29,3,31
64,859,0.78,29,2.25,19
64,950,0.7,29,2.5,31
65,760,0.75,55,2.5,8
65,914,0.73,55,2.75,8
65,762,0.7,55,3,8
65,125,0.75,55,3,8
65,129,0.7,55,3.25,31
66,346,0.77,15,2,21
66,565,0.77,15,2.5,21
66,526,0.77,15,2.75,21
66,565,0.55,15,3,21
66,526,0.55,15,3.25,21
66,346,0.55,15,3.5,21
67,818,0.7,36,3.5,31
67,477,0.7,36,3.75,8
68,50,0.72,11,3.5,31
68,909,0.72,11,3.25,31
68,49,0.72,11,3.5,31
68,258,0.72,11,3,19
68,258,0.8,11,2.75,19
69,57,0.65,10,3,31
69,957,0.65,10,3.25,31
69,254,0.65,10,3.25,31
69,427,0.65,10,3.5,31
69,187,0.65,10,3.5,7
70,615,0.72,55,4,31
70,927,0.72,55,3.5,31
70,317,0.7,55,3.75,17
70,743,0.72,55,3.5,31
70,873,0.72,55,3.5,17
70,57,0.76,55,3.5,17
70,339,0.7,55,2.75,31
70,125,0.7,55,3,31
70,237,0.73,55,3.5,31
70,851,0.7,55,2.5,8
70,392,0.7,55,3.25,31
70,655,0.72,55,3.25,31
70,958,0.7,55,2.75,8
70,391,0.72,55,3,31
71,321,0.7,55,2.5,24
71,730,0.7,55,2.75,31
71,982,0.7,55,2.75,31
71,125,0.7,55,3,8
72,321,0.72,18,2.75,31
73,967,0.7,8,2.75,19
74,612,0.7,55,3.25,31
75,60,0.55,15,2.75,21
75,526,0.75,15,3,21
76,481,0.7,55,3.5,19
77,116,0.7,18,3.5,17
78,321,0.7,54,3.25,31
79,610,0.75,19,3,31
79,609,0.82,19,3.25,31
80,620,0.7,48,2.75,31
80,919,0.7,48,3.5,31
81,730,0.65,54,2.5,8
81,731,0.65,54,2.75,8
81,299,0.8,54,2.5,8
82,547,0.7,55,3.75,31
82,982,0.68,55,3.75,31
83,960,0.9,55,2.5,31
83,742,0.8,55,2.5,31
84,1000,0.7,55,2.5,8
84,967,0.7,55,2.75,31
84,299,0.6,55,3,31
84,299,0.75,55,3,8
84,675,0.8,55,3,13
84,321,0.7,55,3.25,31
84,655,0.8,55,2.75,31
85,730,0.74,55,2.75,31
86,947,0.75,1,3.25,31
86,248,0.68,1,3.5,19
86,734,0.8,1,3.75,8
87,581,0.69,45,3.75,24
87,168,0.8,45,3.75,31
87,730,0.7,45,3.75,24
87,321,0.82,45,2.5,21
87,730,0.68,45,2.75,8
87,547,0.72,45,3.25,8
88,1006,0.7,8,2.5,8
89,724,0.77,30,3,8
90,194,0.65,8,3.25,31
91,1006,0.71,49,3.25,8
91,821,0.71,49,3.5,31
91,465,0.6,49,3.25,31
91,918,0.75,49,3.25,31
91,675,0.71,49,3.5,8
91,124,0.71,49,2.5,21
91,401,0.71,49,2.5,31
91,578,0.7,49,3,5
92,906,0.65,55,2.5,31
92,906,0.75,55,2.5,31
93,675,0.8,8,2.5,8
93,771,0.7,8,2.75,8
93,129,0.7,8,3,8
93,129,0.8,8,3,13
93,675,0.7,8,3,8
94,389,0.42,33,2.75,8
95,194,0.75,8,3.25,31
96,583,0.68,8,3.75,24
97,201,0.61,55,3,8
98,203,0.77,55,2.75,31
99,924,0.735,44,3.75,19
99,925,0.8,44,3,19
99,924,0.75,44,4,19
99,780,1,44,1,19
100,154,0.73,55,3.5,31
101,821,0.75,55,3,31
102,899,0.7,2,3.25,31
102,168,0.8,2,2.75,31
102,644,0.72,2,3.25,31
102,675,0.7,2,3.75,8
102,346,0.88,2,2.75,24
103,146,0.76,55,3.5,31
104,931,0.78,55,2.75,31
105,330,0.65,19,3.25,24
105,365,0.85,19,3.5,19
105,322,1,19,1.5,19
105,966,0.72,19,3.75,19
105,547,0.7,19,3.5,31
105,383,0.72,19,3.25,31
105,203,0.7,19,3,31
105,527,0.72,19,2.5,29
105,950,0.72,19,3,31
105,442,0.72,19,3.25,31
105,676,0.72,19,3.25,10
105,761,0.72,19,3,8
105,761,0.62,19,3.25,8
105,204,0.7,19,3.5,17
105,206,0.7,19,3.75,17
105,776,0.72,19,3,8
105,777,0.72,19,3,14
105,838,0.72,19,3,31
106,869,0.7,5,1,31
107,651,0.7,3,2.5,19
107,981,0.83,3,2.75,31
107,915,0.75,3,3.25,19
107,77,0.65,3,3.25,31
107,647,0.67,3,3.25,31
107,980,0.64,3,3.25,31
107,298,0.75,3,3.5,19
108,1,0.85,55,3.25,24
108,1,0.73,55,3.75,24
109,373,0.7,3,2.75,31
109,285,0.7,3,3.25,31
110,305,0.72,55,2.75,31
111,811,0.7,54,3,31
111,526,0.7,54,3.5,8
111,265,0.7,54,2.25,31
111,698,0.7,54,2.75,31
112,1012,0.7,55,3.75,8
112,613,0.7,55,3,31
112,609,0.7,55,3.5,31
112,153,0.7,55,3.5,31
112,137,0.7,55,2.75,31
112,842,0.7,55,3.75,8
112,278,0.7,55,2.75,31
112,724,0.7,55,3.25,31
112,571,0.7,55,3.5,31
112,720,0.7,55,3.5,31
112,970,0.7,55,3,8
112,229,0.7,55,3.25,31
112,342,0.7,55,3.75,8
112,299,0.7,55,3.25,31
112,547,0.7,55,3.25,31
112,914,0.7,55,3.25,31
113,540,0.82,22,3.25,31
113,203,0.75,22,3,31
113,540,0.7,22,3.75,8
113,821,0.7,22,3.75,31
113,509,0.7,22,4,8
113,705,0.7,22,3.25,31
113,540,0.6,22,3.5,31
113,509,0.75,22,3,8
113,509,0.6,22,3.25,8
114,984,0.72,55,2.75,31
114,986,0.72,55,3,31
114,319,0.7,55,3.25,31
115,125,0.75,55,3.25,31
115,547,0.7,55,3,31
115,675,0.7,55,3.25,31
115,914,0.7,55,3,8
115,321,0.7,55,3.25,31
116,363,0.7,55,2.5,19
116,791,0.7,55,2.75,31
116,982,0.7,55,2.75,31
116,996,0.58,55,3.25,19
117,649,0.72,7,3.5,31
117,867,0.65,7,3.5,31
118,136,0.7,47,2.5,19
118,828,0.7,47,3,8
119,547,0.66,55,2.5,31
119,258,0.64,55,3,31
119,321,0.71,55,3,31
119,363,0.6,55,3,19
119,720,0.64,55,3,31
119,730,0.64,55,3,31
120,720,0.64,18,3,31
120,982,0.66,18,3.75,8
121,469,0.72,8,2.5,31
122,125,0.8,55,2.75,31
122,258,0.77,55,3.5,31
122,299,0.77,55,3.5,31
123,508,0.7,55,3.75,8
123,930,0.78,55,3.5,31
123,36,0.7,55,3.75,8
123,339,0.74,55,3.5,31
123,327,0.7,55,3.25,31
123,146,0.76,55,3.5,31
123,125,0.75,55,2.75,8
123,96,0.72,55,2.75,31
123,821,0.8,55,2.75,31
123,821,0.72,55,3,31
123,570,0.75,55,2.75,8
123,492,0.74,55,3,31
123,321,0.7,55,3.25,31
124,781,0.85,54,3,8
124,713,0.72,54,3.25,31
124,782,0.72,54,3.25,31
124,455,0.72,54,3.5,17
125,672,0.7,55,3.75,8
126,10,0.88,5,3,19
126,661,0.7,5,1.5,21
127,404,0.7,29,3.75,8
127,679,0.7,29,3.75,12
127,429,1,29,3,8
127,642,0.7,29,3.5,8
127,395,0.7,29,3.75,8
127,161,0.7,29,3.5,8
127,212,0.7,29,3,31
127,183,0.7,29,3,31
127,926,0.7,29,3,31
127,116,0.78,29,3.5,5
127,430,0.7,29,3.75,5
127,760,0.7,29,4,14
127,677,0.75,29,3.25,10
127,382,0.6,29,3.25,31
127,547,0.7,29,3.5,31
127,547,0.7,29,3.5,8
127,454,0.7,29,3.75,8
127,321,0.7,29,4,21
127,678,0.7,29,4,11
127,900,0.7,29,3,31
127,52,0.7,29,3.25,31
127,168,0.7,29,3.5,31
128,663,0.75,54,2.75,31
128,799,0.7,54,2.5,31
128,230,0.8,54,2.75,17
128,553,0.77,54,2.75,17
129,804,0.7,54,4,8
129,224,0.7,54,3.5,8
129,795,0.76,54,3.75,8
129,675,0.72,54,3.75,31
129,435,0.72,54,3.75,8
129,299,0.65,54,3.5,31
129,121,0.72,54,3,31
129,653,0.71,54,3.25,8
129,675,0.71,54,3.5,31
129,712,0.7,54,3.5,8
129,253,0.72,54,3.75,31
129,895,0.7,54,2.5,8
129,896,0.7,54,3.75,8
130,299,0.7,55,3.25,31
131,547,0.82,18,2.75,31
132,593,0.7,55,3.5,24
132,803,0.7,55,3.5,31
132,907,0.7,55,3.25,31
132,176,0.7,55,3.25,31
132,255,0.7,55,4,14
133,730,0.7,8,3.25,31
133,547,0.7,8,3.5,31
133,299,0.7,8,3.75,8
134,957,0.7,8,3.25,31
134,57,0.7,8,3.25,31
135,592,0.72,55,2.75,24
136,760,0.68,19,3,8
137,28,0.75,6,3.75,31
137,27,0.71,6,2.75,8
138,843,0.7,56,3.75,8
138,800,0.605,56,2.75,31
138,801,0.7,56,3,31
138,170,0.74,56,2.5,8
138,171,0.58,56,2.5,8
138,174,0.61,56,3,8
138,173,0.7,56,2.75,8
139,343,0.6,50,2.75,31
139,343,0.7,50,3.25,31
140,724,0.79,30,3,8
140,730,0.78,30,3.5,8
141,994,0.75,55,3.25,31
142,924,0.8,49,3.25,19
143,105,0.7,18,3.25,31
143,408,0.8,18,3,31
143,68,0.74,18,3.25,31
144,797,0.7,55,2.75,31
144,394,0.65,55,2,8
144,168,0.81,55,3.5,8
144,177,0.74,55,2.75,31
144,675,0.72,55,3,8
145,738,0.55,55,2.5,31
145,950,0.55,55,2.5,31
145,760,0.7,55,2.5,14
145,794,0.62,55,2.75,8
145,985,0.62,55,2.5,31
146,96,0.8,55,3,31
146,321,0.8,55,3.5,31
146,299,0.8,55,3.75,8
147,637,0.75,55,2.75,8
148,117,0.76,41,3,31
148,281,0.76,41,2.5,31
148,609,0.76,41,2.75,31
149,383,0.58,53,3.5,31
149,898,0.62,53,2,31
149,339,0.74,53,3,35
149,554,0.64,53,3,8
149,575,0.65,53,3,8
149,60,0.72,53,3.5,21
149,29,0.68,53,4,15
150,785,0.65,55,2.25,31
150,299,0.8,55,3,31
150,299,0.7,55,3.25,31
150,299,0.85,55,2.5,31
151,805,0.72,54,2.75,8
152,299,0.7,42,2.75,31
152,785,0.8,42,2.75,31
153,18,0.7,46,2.75,31
153,149,0.75,46,3.5,19
153,472,0.67,46,3.75,31
154,201,0.7,56,3.5,8
154,675,0.7,56,3.75,8
154,159,0.7,56,3.75,8
154,899,0.6,56,3.5,31
155,258,0.7,5,3.5,24
155,732,0.75,5,3.5,31
155,986,0.8,5,3,31
155,363,0.6,5,3.5,19
155,547,0.65,5,3.5,31
156,664,0.7,55,3.5,24
156,399,0.73,55,3.5,31
156,839,0.8,55,3,31
156,601,0.68,55,3.25,31
156,709,0.66,55,3.5,31
156,959,0.7,55,2.5,8
156,709,0.61,55,3.5,31
156,708,0.81,55,2,21
156,583,0.7,55,3.5,24
156,492,0.65,55,3.5,31
157,585,0.7,55,3,24
157,584,0.7,55,3.5,24
157,586,0.7,55,3.5,24
157,587,0.7,55,3.5,24
157,241,0.72,55,3.25,31
157,242,0.72,55,3.75,31
157,854,0.7,55,3.75,8
157,103,0.7,55,4,31
157,597,0.69,55,3.5,24
157,599,0.69,55,3.5,24
157,826,0.74,55,4,31
157,598,0.69,55,4,31
157,600,0.69,55,3,31
157,366,0.74,55,2.75,19
157,447,0.7,55,3.25,31
157,239,0.72,55,3.5,17
157,448,0.7,55,3.5,31
157,824,0.74,55,2.75,31
157,240,0.72,55,3.25,31
157,825,0.74,55,3,31
157,208,0.76,55,3.25,31
157,207,0.7,55,4,31
157,444,0.8,55,2.75,31
157,446,0.7,55,3,31
157,445,0.7,55,3.25,31
157,169,0.65,55,3.5,8
158,816,0.7,13,3.5,8
159,484,0.6,13,3,31
159,484,0.85,13,3.25,17
159,484,0.7,13,3.5,17
159,92,0.7,13,3.25,17
159,618,0.7,13,3.5,17
159,223,0.7,13,3.25,17
159,793,0.7,13,3.25,17
159,221,0.7,13,3.25,17
159,817,0.7,13,3.75,8
159,456,0.7,13,3.25,17
159,224,0.7,13,3.5,17
159,653,0.7,13,3.5,17
160,1001,0.74,55,3.75,4
160,262,0.74,55,4,2
160,375,0.7,55,3.75,31
160,581,0.76,55,3,24
160,492,0.7,55,3.75,8
160,146,0.75,55,3,8
160,730,0.7,55,2.5,8
160,875,0.66,55,3.25,31
160,258,0.7,55,3,8
161,464,0.85,55,2.5,5
162,17,0.65,19,3.25,31
162,5,0.7,19,4,19
162,238,0.7,19,3.5,31
162,238,0.8,19,3.5,31
162,17,0.75,19,3.5,31
163,939,0.7,55,3.5,17
163,71,0.66,55,3,36
164,24,0.77,55,2.75,31
164,334,0.77,55,3.25,31
164,63,0.77,55,3.25,31
165,106,0.72,57,3,31
166,288,0.7,54,2.5,8
167,547,0.7,30,3.5,31
168,383,0.82,21,3.25,31
168,383,0.6,21,2.75,31
168,383,0.71,21,2.5,31
169,60,0.64,29,3,22
169,363,0.64,29,3,19
169,951,0.64,29,3,31
169,503,0.76,29,3,8
169,115,0.64,29,3.25,31
170,344,0.7,55,3.75,8
170,405,0.65,55,2.75,31
170,655,0.65,55,2.75,31
170,442,0.65,55,3.25,31
170,321,0.65,55,3.5,31
170,264,0.72,55,2.75,31
170,515,0.61,55,3.25,31
170,695,0.72,55,3.25,31
170,950,0.65,55,3,31
170,671,0.55,55,3,31
170,660,0.91,55,3,31
170,236,0.7,55,3.5,5
170,544,0.65,55,3,31
170,891,0.64,55,3,31
170,675,0.65,55,3.5,31
170,788,0.72,55,3.5,5
170,217,0.65,55,3,31
170,899,0.65,55,2.5,35
170,834,0.65,55,3.5,8
170,535,0.65,55,3.5,21
170,956,0.61,55,3.5,5
170,868,0.61,55,3,5
171,720,0.8,8,2.75,31
171,158,0.74,8,2.75,31
171,299,0.75,8,3.25,31
171,953,0.7,8,3.5,31
171,314,0.65,8,2.75,8
171,11,0.7,8,3,8
171,38,0.8,8,3,31
171,872,0.66,8,3.25,31
172,60,0.77,19,2.5,21
173,311,0.55,15,2.75,31
173,311,0.7,15,3,31
174,890,0.7,3,3,8
175,976,0.85,55,3.25,31
175,130,0.67,55,3,8
175,943,0.77,55,3.5,31
175,975,0.74,55,3.5,8
176,730,0.64,19,2.75,8
177,617,0.7,55,3.25,1
178,260,0.74,55,3.5,2
179,31,0.67,55,3.5,3
179,997,0.67,55,3,4
179,532,0.67,55,3.75,18
179,606,0.67,55,3.75,31
180,607,0.72,55,3.5,31
181,533,0.7,55,3.5,18
182,745,0.77,55,3.5,18
183,32,0.68,55,3.75,3
183,998,0.72,55,4,4
184,967,0.57,55,2.75,19
184,982,0.74,55,3.5,8
185,914,0.7,55,2.75,31
185,547,0.74,55,3,31
185,982,0.7,55,3,8
185,321,0.73,55,3.25,31
185,730,0.7,55,3.25,31
186,19,0.7,36,2.75,31
186,168,0.72,36,2.75,31
186,237,0.75,36,3.25,31
186,374,0.66,36,3.5,8
187,60,0.8,15,2,22
187,565,0.8,15,2.5,22
187,60,0.72,15,3,22
187,60,0.58,15,3.25,22
187,565,0.58,15,3.5,22
188,581,0.7,28,2.75,31
188,149,0.7,28,3.5,31
188,821,0.7,28,3.5,31
188,375,0.7,28,3.5,31
188,572,0.7,28,3.5,31
188,440,0.7,28,2.5,8
188,418,0.7,28,2.75,31
188,851,0.7,28,3.5,31
188,419,0.75,28,3.75,31
189,333,0.72,47,2.5,31
190,727,0.7,54,2.75,31
190,595,0.7,54,4,31
190,438,1,54,1.75,31
191,950,0.75,54,3,31
191,619,0.8,54,3.5,31
191,527,0.9,54,3,24
191,886,0.72,54,3,31
191,528,0.82,54,3.5,24
191,190,1,54,2.75,31
191,529,1,54,2.5,24
191,243,1,54,2.75,31
191,821,0.66,54,3.5,35
191,530,0.8,54,3,24
191,437,0.65,54,3,31
191,439,0.65,54,3.25,31
191,321,0.7,54,2.75,31
191,858,0.7,54,3,8
191,203,0.7,54,2.75,31
191,894,0.72,54,3,31
191,967,0.8,54,2.5,19
191,914,0.75,54,2.75,8
191,966,0.72,54,3,19
192,505,0.7,8,3.5,31
192,125,0.7,8,3,17
192,126,0.7,8,3,17
192,633,0.7,8,3,31
192,418,0.7,8,3.75,31
192,1011,0.7,8,3.5,31
192,681,0.7,8,3.25,35
192,38,0.7,8,3.75,19
193,216,0.72,53,3.75,31
193,250,0.72,53,3.75,8
193,901,0.72,53,3.75,31
193,202,0.72,53,3.25,8
193,682,0.72,53,3.75,8
193,778,0.74,53,4,8
193,683,0.72,53,3.5,8
193,175,0.7,53,4,31
193,251,0.72,53,4,8
193,902,0.72,53,4,8
194,432,0.61,26,2.5,31
195,492,0.7,55,3.25,31
195,244,0.7,55,2.75,31
196,423,0.77,55,3,8
197,864,0.72,45,2.75,8
197,113,0.72,45,3,31
198,547,0.72,55,3.5,31
198,730,0.72,55,2.25,31
198,96,0.72,55,3.25,31
198,299,0.72,55,3.25,31
199,611,0.7,55,3.5,31
199,340,0.7,55,2.75,31
200,948,0.71,55,2,31
201,547,0.63,12,2.75,31
202,96,0.7,55,3.5,31
202,547,0.7,55,3.5,31
202,730,0.7,55,4,24
203,808,0.7,14,3.5,8
203,809,0.82,14,3,31
203,809,0.55,14,3.25,31
203,809,0.62,14,3.25,31
204,730,0.64,19,2.5,31
204,980,0.65,19,3.75,31
205,880,0.7,15,3,8
205,881,0.7,15,3.5,31
205,810,0.75,15,2.75,8
205,296,0.85,15,2.5,31
205,294,0.85,15,2.75,31
205,295,0.85,15,3,8
205,140,0.75,15,2.5,31
205,140,0.85,15,3,8
206,661,0.7,18,2.75,31
206,321,0.8,18,2.75,31
